,userID,username,cap_universal,cap_english,english_astroturf,english_fake_follower,english_financial,english_other,english_overall,english_self_declared,english_spammer,universal_astroturf,universal_fake_follower,universal_financial,universal_other,universal_overall,universal_self_declared,universal_spammer,status
1239,3352920744,@tmikie2015,0.801617084,0.828754988,1,1.9,2,4.2,4.2,0.2,0,1,1.2,1.2,2.9,1.9,0.5,0,active
1240,1.14906E+18,@katie_slane,0.832785604,0.839586355,4.3,3,1.6,3.2,4.3,0.4,0.1,4.2,3.2,1.2,2.4,4.2,0.8,0,active
1241,329901783,@sportingtours,0.641587017,0.475676966,1.2,0.4,0.3,0.7,0.5,0.1,0,1,0.3,0.2,1.3,0.8,0,0,active
1242,1.21536E+18,@richard87299784,0.80912737,0.824091714,1.1,3.7,1.6,4.1,4.1,0,0.8,1.1,3.4,1,3.7,3.7,0.2,0.5,active
1243,55262239,@alanmassei,0.799570189,0.807603545,0.6,1.8,1.6,3.9,3.9,0.2,0,0.9,1,1.4,2.8,1.8,0.1,0.1,active
1244,1.25109E+18,@espinosuar,0.767421432,0.796599115,3,1.8,0,3.2,3.2,0.6,0,2.8,0.8,0,1.4,1.3,0.2,0.1,active
1245,1.24755E+18,@jessica91652165,0.798228728,0.793087009,1.5,2.1,1.8,2.7,1.9,0,0,1,2.2,1.2,2.3,1.8,0,0.2,active
1246,none,@remcoduckers,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,deleted
1247,9.81843E+17,@nadia_hopppe1,0.79471081,0.78522107,1.5,0.8,0,3.1,1.6,0,0,2,0.8,0,2.1,1.6,0,0,active
1248,28485157,@streetjust,0.733499832,0.717691108,2,1.4,0.4,1.2,1.1,0,0.2,2.4,1.4,0.1,1.2,1.1,0,0.1,active
1249,462131008,@kiwitongkalee,0.782826526,0.790758693,1,1.6,0.2,1.8,1.8,0,0.4,0.4,1,0.2,0.6,1.4,0,0.4,active
1250,1.035E+18,@sleeplesstv_,0.260367838,0.306188072,1.1,0.1,0,0.4,0.2,0,0,1.3,0.2,0,0.9,0.1,0,0,active
1251,7.46116E+17,@cisppetta,0.733499832,0.782635786,2.8,1,1.8,2.7,1.6,0,0.4,2.7,0.6,0.6,1.6,1.1,0,0.1,active
1252,none,@semmoneglynn,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,suspended
1253,1.31859E+18,@gurl_hershey,0.733499832,0.828754988,4.2,0.3,0,1.5,4.2,0,0,3.8,0.2,0,1,1.1,0,0,active
1254,1259502810,@watkinshenao,0.233324324,0.306188072,0.8,0.1,0,0,0.2,0,0,0.6,0,0,0.1,0,0,0,active
1255,97751004,@thoronlin,0.792436791,0.796862475,0.7,1.6,1.6,3.4,3.4,0.4,0.1,0.6,1.4,1,2.7,1.6,0.5,0,active
1256,1608587778,@tracivoice,0.782826526,0.761187863,2.4,1.6,1.7,2.1,1.4,0.2,0.1,1.8,1.6,1,2.7,1.4,0,0,active
1257,1398068880,@tdtom89,0.406739786,0.419722242,3.3,0.4,0,0.8,0.4,0,0,2.8,0.6,0.2,0.4,0.4,0.1,0,active
1258,202322725,@gismga,0.678486427,0.78740022,1.4,0.8,1,2.6,1.7,0,0.1,1.5,0.4,0.4,1.8,0.9,0,0,active
1259,8.00161E+17,@kocarter2016,0.80354321,0.796410072,1.2,2,1.7,2.7,2.2,0,0,0.7,2.2,1,2.2,2,0.4,0,active
1260,2870185546,@pressresetearth,0.260367838,0.306188072,0.8,0.1,0,0.4,0.2,0,0,0.8,0.1,0,0.5,0.1,0,0,active
1261,8.18637E+17,@jakespeedr,0.598241997,0.362645641,0.3,1,0.2,0.8,0.3,0,0,0.3,0.5,0.2,1,0.7,0,0,active
1262,8.38368E+17,@aklover4truth,0.786564267,0.691579952,3.5,0.6,0.4,1,1,0,0,3.2,1,0.4,1.2,1.5,0,0.2,active
1263,103551080,@heneyda,0.733499832,0.775988747,1.8,2.3,1.4,3.2,1.5,0.1,0.3,2.2,2.2,0.5,1.8,1.1,0,0.1,active
1264,1.24139E+18,@stevewight9,0.79471081,0.766876962,3.5,1.2,1.4,1.7,1.4,0.2,0.2,3,0.9,1,1.6,1.6,0,0.3,active
1265,2827310373,@luis_sabril,0.694516142,0.78740022,1.4,1,0.5,3.2,1.7,0,0.4,1,0.8,0.5,1.8,1,0,0.2,active
1266,3246529033,@freakcountry76,1,0.882963268,4.6,0.6,0,1.8,4.6,0,0,5,0.6,0,1,5,0,0,active
1267,196345350,@bigdintheboro,0.598241997,0.553972572,1.8,0.2,0,1.4,0.6,0,0,2,0.5,0,1,0.7,0,0,active
1268,1.24302E+18,@daddy2a1,0.694516142,0.676361906,0.4,1.8,0.5,0.7,1,0.2,0.9,0.4,1.6,0.2,1,1,0.2,0.8,active
1269,799550838,@enadepacheco,0.805274649,0.805478436,3.2,2.9,1.8,3.8,3.8,0.2,0.3,2.9,2,1.4,2.2,2.9,0.3,0.2,active
