id,status
8.00E+17,Deleted
7.70E+17,Deleted
1.19E+18,Deleted
8.99E+17,Deleted
7.54E+17,Deleted
1.30E+18,Deleted
1.29E+18,Deleted
7.96E+17,Deleted
9.88E+17,Deleted
28822959,Suspended
1.31E+18,Deleted
1.00E+18,Deleted
1.29E+18,Deleted
1.17E+18,Deleted
1.31E+18,Deleted
1.30E+18,Deleted
1.24E+18,Deleted
1.23E+18,Deleted
7.85E+17,Deleted
1.10E+18,Deleted
1.22E+18,Deleted
1.32E+18,Deleted
7.67E+17,Deleted
1.28E+18,Deleted
9.18E+17,Deleted
1.12E+18,Deleted
1.07E+18,Deleted
212992692,Active
18282134,Active
586069796,Active
3016165408,Active
2919925830,Active
429522342,Active
357699085,Active
435117647,Active
754288945,Active
26210888,Active
27943435,Active
1050720576,Active
2427730648,Active
18075443,Active
531873911,Active
355225577,Active
367208625,Active
41553165,Active
2914130980,Active
291736392,Active
329460210,Active
222135490,Active
39197185,Active
1851738055,Active
2749837045,Active
2310998746,Active
68973901,Active
344373492,Active
919797908,Active
263167228,Active
2934549785,Active
394420566,Active
3122408507,Active
376471477,Active
2174840354,Active
79015156,Active
982895516,Active
109841127,Active
4064172020,Active
2210445845,Active
702257659,Active
1326017760,Active
702257659,Active
19022536,Active
241200884,Active
3127156630,Active
399609333,Active
985931431,Active
3247965726,Active
3997470255,Active
2480039071,Active
201684742,Active
21299747,Active
96960653,Active
14467915,Active
1024850718,Active
898849818,Active
1604065028,Active
1.10E+18,Deleted
8.86E+17,Deleted
1.30E+18,Deleted
8.63E+17,Deleted
7.83E+17,Deleted
7.67E+17,Deleted
1.28E+18,Deleted
1.08E+18,Deleted
8.49E+17,Deleted
1.03E+18,Deleted
9.40E+17,Deleted
1.31E+18,Deleted
1.29E+18,Deleted
1.28E+18,Deleted
7.07E+17,Deleted
1.27E+18,Deleted
1.30E+18,Deleted
1.24E+18,Deleted
1.26E+18,Deleted
9.42E+17,Deleted
1.03E+18,Deleted
1.18E+18,Deleted
1.29E+18,Deleted
9.24E+17,Deleted
1.24E+18,Deleted
8.69E+17,Deleted
7.12E+17,Deleted
1.00E+18,Deleted
9.99E+17,Deleted
1.29E+18,Deleted
8.73E+17,Deleted
1.09E+18,Deleted
1.31E+18,Deleted
8.23E+17,Deleted
1.05E+18,Deleted
8.95E+17,Deleted
7.85E+17,Deleted
1.18E+18,Deleted
30516193,Deleted
8.83E+17,Deleted
1.28E+18,Deleted
8.90E+17,Deleted
4840456582,Active
3639745694,Active
89834483,Active
20477028,Active
512859502,Active
63677259,Active
2764242773,Active
44182807,Active
139172366,Active
2990463080,Active
260363261,Active
104850722,Active
31880558,Active
1445078371,Active
26828241,Active
116226823,Active
1198221252,Active
403917997,Active
43175283,Active
310329386,Active
204734791,Active
22952448,Active
61403483,Active
3850807153,Active
3292807238,Active
85758685,Active
394379881,Active
291387437,Active
1072899241,Active
1603896888,Active
531547747,Active
101630174,Active
3229344734,Active
2413387260,Active
53762268,Active
53978081,Active
270833117,Active
3850807153,Active
2795064016,Active
33898226,Active
857313109,Active
1214295282,Active
121433510,Active
1480031612,Active
3237851740,Active
25386925,Active
36066690,Active
555450691,Active
3002457954,Active
3864091947,Active
8.29E+17,Deleted
7.63E+17,Deleted
7.85E+17,Deleted
8.30E+17,Deleted
7.35E+17,Deleted
1.15E+18,Deleted
1.25E+18,Deleted
1.18E+18,Deleted
9.34E+17,Deleted
1.17E+18,Deleted
8.87E+17,Deleted
8.87E+17,Deleted
8.06E+17,Deleted
8.27E+17,Deleted
8.12E+17,Deleted
1.31E+18,Deleted
8.12E+17,Deleted
1.14E+18,Deleted
7.42E+17,Deleted
9.28E+17,Deleted
9.42E+17,Deleted
7.81E+17,Deleted
1.23E+18,Deleted
1.14E+18,Deleted
8.93E+17,Deleted
1.15E+18,Deleted
7.07E+17,Deleted
8.84E+17,Deleted
1.24E+18,Deleted
1.01E+18,Deleted
